■ 개봉일람_월별,,,,,,,,,,,,,,,,,
- 조회일: 2021-03-18,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2020~2020   국적 : 전체   영화명 : 전체   개봉일 : 전체   영화구분 : 전체   영화유형 : 개봉영화    ],,,,,,,,,,,,,,,,,
<,,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
1,다만 악에서 구하소서,홍원찬,(주)하이브미디어코프,,씨제이이앤엠(주),2020-08-05,개봉영화,장편,한국,"1,998","37,721,967,250","4,255,708","8,690,416,230","958,007",범죄,15세이상관람가,일반영화
2,반도,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2020-07-15,개봉영화,장편,한국,"2,575","33,059,520,280","3,810,312","7,996,505,840","893,723",액션,15세이상관람가,일반영화
3,#살아있다,조일형,"영화사 집,(주)퍼스펙티브픽쳐스",,롯데컬처웍스(주)롯데엔터테인먼트,2020-06-24,개봉영화,장편,한국,"1,882","15,965,329,900","1,903,703","3,885,303,840","476,332",드라마,15세이상관람가,일반영화
4,강철비2: 정상회담,양우석,(주)스튜디오게니우스우정,,롯데컬처웍스(주)롯데엔터테인먼트,2020-07-29,개봉영화,장편,한국,"2,137","14,628,206,710","1,780,503","3,451,321,810","431,963",드라마,15세이상관람가,일반영화
5,오케이 마담,이철하,"영화사올(주),(주)사나이픽처스",,메가박스중앙(주)플러스엠,2020-08-12,개봉영화,장편,한국,"1,288","10,790,021,200","1,205,199","2,112,388,380","231,120",코미디,15세이상관람가,일반영화
6,결백,박상현,(주)이디오플랜,,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티",2020-06-10,개봉영화,장편,한국,"1,112","7,641,029,340","865,683","1,694,630,700","189,284",드라마,15세이상관람가,일반영화
7,테넷,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2020-08-26,개봉영화,장편,미국,"2,228","6,496,393,320","714,412","2,050,431,900","216,041",액션,12세이상관람가,일반영화
8,침입자,손원평,(주)비에이엔터테인먼트,,(주)에이스메이커무비웍스,2020-06-04,개봉영화,장편,한국,"1,365","4,806,314,000","531,212","1,029,368,660","110,923",미스터리,15세이상관람가,일반영화
9,1917,샘 멘데스,,씨제이이앤엠(주),(주)스마일이엔티,2020-02-19,개봉영화,장편,미국,932,"4,161,124,420","464,824","1,642,180,560","176,208",드라마,15세이상관람가,일반영화
10,인비저블맨,리 워넬,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2020-02-26,개봉영화,장편,미국,776,"4,042,102,580","459,170","1,239,852,600","136,977",공포(호러),15세이상관람가,일반영화
11,온워드: 단 하루의 기적,댄 스캔론,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2020-06-17,개봉영화,장편,미국,"1,138","3,581,335,060","416,739","1,108,737,520","122,318",애니메이션,전체관람가,일반영화
12,프리즌 이스케이프,,,주식회사 풍경소리,(주)이놀미디어,2020-05-06,개봉영화,장편,영국,328,"1,848,297,600","217,056","556,477,740","63,837",어드벤처,12세이상관람가,독립/예술영화
13,사라진 시간,정진영,"(주)비에이엔터테인먼트,(주)다니필름",,(주)에이스메이커무비웍스,2020-06-18,개봉영화,장편,한국,874,"1,651,188,580","185,653","388,762,580","43,314",미스터리,15세이상관람가,일반영화
14,밤쉘: 세상을 바꾼 폭탄선언,제이 로치,,그린나래미디어(주),(주)홈초이스,2020-07-08,개봉영화,장편,미국,882,"1,518,428,340","178,963","668,060,220","77,431",드라마,15세이상관람가,독립/예술영화
15,지푸라기라도 잡고 싶은 짐승들,김용훈,(주)비에이엔터테인먼트,,메가박스중앙(주)플러스엠,2020-02-19,개봉영화,장편,한국,996,"1,232,453,270","139,777","358,470,900","39,768",스릴러,청소년관람불가,일반영화
16,트롤: 월드 투어,"월트 도른,데이빗 P.스미스",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2020-04-29,개봉영화,장편,미국,344,"1,168,000,320","152,159","303,995,980","37,939",애니메이션,전체관람가,일반영화
17,다크 워터스,토드 헤인즈,,씨제이이앤엠(주),(주)이수C&E,2020-03-11,개봉영화,장편,미국,575,"1,096,657,740","127,251","383,981,180","43,314",드라마,12세이상관람가,독립/예술영화
18,애니멀 크래커,토니 밴크로프트,,주식회사 디에스이이디,(주)이수C&E,2020-08-05,개봉영화,장편,미국,473,"1,023,705,340","129,006","151,065,470","17,842",애니메이션,전체관람가,독립/예술영화
19,언더워터,윌리엄 유뱅크,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2020-05-27,개봉영화,장편,미국,594,"937,112,800","109,207","259,889,160","29,571",스릴러,15세이상관람가,일반영화
20,정직한 후보,장유정,"(주)수필름,(주)홍필름",,(주)넥스트엔터테인먼트월드(NEW),2020-02-12,개봉영화,장편,한국,"1,187","828,566,090","109,263","232,992,660","30,341",코미디,12세이상관람가,일반영화
21,작은 아씨들,그레타 거윅,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2020-02-12,개봉영화,장편,미국,"1,105","825,662,460","96,748","373,005,120","42,804",드라마,전체관람가,일반영화
22,레이니 데이 인 뉴욕,우디 앨런,,그린나래미디어(주),"그린나래미디어(주),(주)버킷스튜디오",2020-05-06,개봉영화,장편,미국,563,"784,272,200","88,440","338,103,180","37,178",코미디,15세이상관람가,독립/예술영화
23,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,하시모토 마사카즈,,씨제이이앤엠(주),씨제이이앤엠(주),2020-08-20,개봉영화,장편,일본,661,"783,086,840","96,235","100,037,880","11,640",애니메이션,전체관람가,일반영화
24,저 산 너머,최종태,리온픽쳐스(주),,(주)리틀빅픽쳐스,2020-04-30,개봉영화,장편,한국,468,"772,685,300","103,534","230,447,040","32,623",드라마,12세이상관람가,일반영화
25,주디,루퍼트 굴드,,(주)퍼스트런,TCO(주)더콘텐츠온,2020-03-25,개봉영화,장편,영국,479,"738,851,760","89,719","323,361,140","38,273",드라마,12세이상관람가,독립/예술영화
26,나의 청춘은 너의 것,"주동,대몽영",오드,,"오드,(주)홈초이스",2020-04-29,개봉영화,장편,대만,533,"714,892,500","84,442","205,056,740","23,586",멜로/로맨스,12세이상관람가,독립/예술영화
27,에어로너츠,톰 하퍼,,주식회사 더쿱,(주)홈초이스,2020-06-10,개봉영화,장편,영국,534,"691,188,500","79,877","284,464,760","32,538",드라마,12세이상관람가,독립/예술영화
28,소리꾼,조정래,주식회사 제이오엔터테인먼트코리아,,(주)리틀빅픽쳐스,2020-07-01,개봉영화,장편,한국,573,"642,120,680","79,215","183,695,800","22,306",사극,12세이상관람가,일반영화
29,엽문4: 더 파이널,엽위신,,(주)키다리이엔티,(주)키다리이엔티,2020-04-01,개봉영화,장편,홍콩,206,"630,556,300","72,886","182,738,000","20,918",액션,12세이상관람가,독립/예술영화
30,더 플랫폼,,,주식회사 더쿱,(주)홈초이스,2020-05-13,개봉영화,장편,스페인,228,"603,715,000","65,938","212,466,200","23,133",SF,청소년관람불가,독립/예술영화
31,호텔 레이크,윤은경,"(주)이에스픽쳐스,㈜인디스토리",,(주)스마일이엔티,2020-04-29,개봉영화,장편,한국,465,"592,223,200","70,019","116,030,900","13,345",공포(호러),15세이상관람가,독립/예술영화
32,소년시절의 너,증국상,,(주)더세컨드웨이브,"(주)콘텐츠패밀리,(주)영화특별시에스엠씨",2020-07-09,개봉영화,장편,중국,252,"588,723,700","68,434","253,129,400","28,875",멜로/로맨스,15세이상관람가,독립/예술영화
33,빅샤크3: 젤리몬스터 대소동,신우,,"(주)히스토리필름,(주)팝엔터테인먼트",(주)팝엔터테인먼트,2020-07-29,개봉영화,장편,중국,400,"562,220,660","72,849","62,620,460","7,772",애니메이션,전체관람가,일반영화
34,카페 벨에포크,니콜라스 베도스,,(주)이수C&E,(주)이수C&E,2020-05-20,개봉영화,장편,프랑스,463,"549,455,880","65,975","268,690,840","32,387",코미디,15세이상관람가,독립/예술영화
35,아이즈 온 미 : 더 무비,박재석,씨제이포디플렉스 주식회사,,씨제이포디플렉스 주식회사,2020-06-10,개봉영화,장편,한국,124,"506,274,000","39,228","202,248,500","15,630",공연,전체관람가,일반영화
36,마이 스파이,피터 시걸,,(주)이수C&E,(주)이수C&E,2020-04-29,개봉영화,장편,미국,240,"482,594,500","56,282","165,572,600","19,676",액션,12세이상관람가,일반영화
37,나의 첫 번째 슈퍼스타,니샤 가나트라,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2020-06-10,개봉영화,장편,미국,462,"473,919,360","53,684","189,510,120","21,533",코미디,12세이상관람가,일반영화
38,더 프린세스 : 도둑맞은 공주,올레말라므,,"(주)히스토리필름,(주)팝엔터테인먼트",(주)팝엔터테인먼트,2020-08-12,개봉영화,장편,우크라이나,423,"445,053,060","54,517","60,674,330","7,007",애니메이션,전체관람가,일반영화
39,날씨의 아이,신카이 마코토,,(주)미디어캐슬,"(주)미디어캐슬,워터홀컴퍼니(주)",2019-10-30,개봉영화,장편,일본,716,"401,272,680","53,364","160,880,460","20,847",애니메이션,15세이상관람가,일반영화
40,스케어리 스토리:어둠의 속삭임,안드레 외브레달,,"(유)조이앤시네마,주식회사 더쿱",(주)제이앤씨미디어그룹,2020-03-25,개봉영화,장편,미국,186,"375,492,420","44,989","123,043,980","14,557",판타지,15세이상관람가,일반영화
41,젠틀맨,가이 리치,,(주)콘텐츠게이트,"(주)영화사 빅,(주)다날엔터테인먼트",2020-02-26,개봉영화,장편,미국,586,"343,647,270","39,638","151,775,040","17,080",범죄,청소년관람불가,일반영화
42,야구소녀,최윤태,한국영화아카데미,,"(주)싸이더스,찬란",2020-06-18,개봉영화,장편,한국,264,"315,236,720","36,764","177,474,260","19,821",드라마,12세이상관람가,독립/예술영화
43,콜 오브 와일드,크리스 샌더스,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2020-05-14,개봉영화,장편,미국,505,"306,118,500","36,245","92,427,680","10,807",어드벤처,12세이상관람가,일반영화
44,반교: 디텐션,존 쉬,,찬란,(주)팝엔터테인먼트,2020-08-13,개봉영화,장편,기타,128,"303,503,130","32,970","99,535,040","10,494",공포(호러),15세이상관람가,독립/예술영화
45,서치 아웃,곽정,(주)디엔와이,,"(주)스톰픽쳐스코리아,(주)삼백상회",2020-04-15,개봉영화,장편,한국,355,"297,167,000","34,115","64,429,740","7,283",스릴러,15세이상관람가,독립/예술영화
46,오픈 더 도어,올가 고로데츠카야,,(주)히스토리필름,(주)팝엔터테인먼트,2020-04-08,개봉영화,장편,러시아,184,"286,702,100","31,760","96,227,400","10,487",공포(호러),15세이상관람가,일반영화
47,톰보이,셀린 시아마,,(주)블루라벨픽쳐스,(주)영화특별시에스엠씨,2020-05-14,개봉영화,장편,프랑스,361,"268,053,620","29,819","162,554,780","17,239",드라마,12세이상관람가,독립/예술영화
48,건즈 아킴보,제이슨 레이 하우덴,,(주)도키엔터테인먼트,와이드 릴리즈(주),2020-04-15,개봉영화,장편,영국,181,"244,731,000","27,928","90,323,000","10,314",액션,청소년관람불가,독립/예술영화
49,그집,,,(유)조이앤시네마,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2020-05-27,개봉영화,장편,스페인,392,"238,258,460","28,707","53,073,520","6,562",공포(호러),15세이상관람가,독립/예술영화
50,기생충,봉준호,(주)바른손이앤에이,,씨제이이앤엠(주),2019-05-30,개봉영화,장편,한국,"1,948","234,896,820","29,320","90,601,300","11,102",드라마,15세이상관람가,일반영화
51,미스비헤이비어,필립파 로소프,,판씨네마(주),판씨네마(주),2020-05-27,개봉영화,장편,영국,378,"234,421,860","28,884","106,700,360","12,991",드라마,15세이상관람가,독립/예술영화
52,파리의 인어,마티아스 마르지유,,(주)빅웨이브시네마,(주)빅웨이브시네마,2020-07-23,개봉영화,장편,프랑스,204,"232,273,500","27,618","89,236,500","10,552",멜로/로맨스,12세이상관람가,독립/예술영화
53,더 보이 2: 돌아온 브람스,윌리엄 브렌트 벨,,컴퍼니 엘론 (주),(주)팝엔터테인먼트,2020-03-05,개봉영화,장편,미국,179,"231,152,000","26,531","79,928,000","9,271",공포(호러),15세이상관람가,일반영화
54,n번째 이별 중,,,(주)퍼스트런,"(주)팬엔터테인먼트,(주)영화특별시에스엠씨",2020-04-01,개봉영화,장편,미국,171,"225,358,800","24,915","87,296,700","9,615",멜로/로맨스,12세이상관람가,독립/예술영화
55,찬실이는 복도 많지,김초희,"(주)지이프로덕션,(주)사이드미러",,찬란,2020-03-05,개봉영화,장편,한국,241,"224,523,960","26,248","140,936,960","15,801",드라마,전체관람가,독립/예술영화
56,블루 아워,하코타 유코,,오드,오드,2020-07-22,개봉영화,장편,일본,322,"202,581,600","23,803","117,634,300","13,168",드라마,12세이상관람가,독립/예술영화
57,캣츠토피아,게리 왕,,주식회사 블루필름웍스,(주)버킷스튜디오,2020-04-30,개봉영화,장편,중국,367,"201,223,160","24,000","29,153,160","3,370",판타지,전체관람가,독립/예술영화
58,비바리움,,,주식회사 루믹스미디어,(주)드림팩트엔터테인먼트,2020-07-16,개봉영화,장편,미국,129,"195,304,120","23,755","80,558,940","9,082",미스터리,15세이상관람가,독립/예술영화
59,울프 콜,안토닌 보드리,,판씨네마(주),판씨네마(주),2020-03-05,개봉영화,장편,프랑스,336,"192,061,580","23,247","60,971,900","7,334",액션,15세이상관람가,독립/예술영화
60,유령선,김지영,(주)왝더독,,(주)엣나인필름,2020-04-15,개봉영화,장편,한국,165,"181,933,920","20,784","68,207,300","7,684",다큐멘터리,12세이상관람가,독립/예술영화
61,인베이젼 2020,표도르 본다르추크,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2020-07-01,개봉영화,장편,러시아,354,"179,135,260","21,609","46,098,440","5,411",SF,12세이상관람가,일반영화
62,팬데믹,,,(주)스톰픽쳐스코리아,(주)영화사 빅,2020-07-22,개봉영화,장편,미국,382,"176,181,960","20,355","39,518,480","4,459",스릴러,15세이상관람가,독립/예술영화
63,비밀정보원: 인 더 프리즌,안드레아 디 스테파노,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2020-04-15,개봉영화,장편,영국,200,"172,588,940","20,317","64,964,580","7,585",범죄,청소년관람불가,일반영화
64,레미제라블: 뮤지컬 콘서트,제임스 파우웰,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2020-05-13,개봉영화,장편,미국,339,"162,921,920","12,426","68,174,940","5,768",뮤지컬,12세이상관람가,일반영화
65,애프터 웨딩 인 뉴욕,바트 프룬디치,,(주)영화사 진진,(주)영화사 진진,2020-04-23,개봉영화,장편,영국,169,"157,346,280","19,241","91,169,220","11,103",드라마,12세이상관람가,독립/예술영화
66,더 터닝,플로리아 시지스몬디,,씨제이이앤엠(주),(주)스마일이엔티,2020-04-02,개봉영화,장편,미국,294,"154,197,940","17,532","55,648,100","6,194",미스터리,15세이상관람가,독립/예술영화
67,킹덤,사토 신스케,,(주)도키엔터테인먼트,와이드 릴리즈(주),2020-04-29,개봉영화,장편,일본,186,"140,937,500","17,663","44,837,000","5,614",액션,15세이상관람가,일반영화
68,아홉 스님,윤성준,"(주)퍼스트런,우주레이블",,"(주)퍼스트런,(주)키다리이엔티",2020-05-27,개봉영화,장편,한국,141,"137,625,200","22,330","70,632,000","13,607",드라마,전체관람가,독립/예술영화
69,프랑스여자,김희정,(주)인벤트스톤,,"(주)디스테이션,롯데컬처웍스(주)롯데엔터테인먼트",2020-06-04,개봉영화,장편,한국,244,"129,230,400","18,106","51,825,160","6,765",드라마,15세이상관람가,독립/예술영화
70,초미의 관심사,남연우,(주) 레진스튜디오,,(주)트리플픽쳐스,2020-05-27,개봉영화,장편,한국,380,"128,698,360","16,137","48,236,840","5,682",드라마,15세이상관람가,독립/예술영화
71,시원찮은 그녀를 위한 육성방법 피날레,,,(주)애니플러스,(주)애니플러스,2020-02-27,개봉영화,장편,일본,71,"123,479,340","14,862","53,686,320","6,328",애니메이션,12세이상관람가,일반영화
72,부활,구수환,(주)중헌홀딩스,,(주)중헌홀딩스,2020-07-09,개봉영화,장편,한국,83,"112,596,500","14,437","35,630,500","4,343",다큐멘터리,전체관람가,일반영화
73,엔딩스 비기닝스,드레이크 도리머스,씨제이이앤엠(주),,"(주)스마일이엔티,씨제이이앤엠(주)",2020-06-24,개봉영화,장편,미국,251,"110,180,880","13,401","42,567,180","5,064",드라마,15세이상관람가,독립/예술영화
74,너는 달밤에 빛나고,츠키카와 쇼,,우성엔터테인먼트,"(주)이수C&E,(주)콘텐츠판다",2020-06-10,개봉영화,장편,일본,178,"109,578,000","12,382","39,604,500","4,378",멜로/로맨스,12세이상관람가,독립/예술영화
75,세인트 아가타,대런 린 보우즈만,,(주)스톰픽쳐스코리아,(주)디스테이션,2020-03-19,개봉영화,장편,미국,390,"109,460,080","12,450","32,200,220","3,603",공포(호러),청소년관람불가,독립/예술영화
76,라라걸,레이첼 그리피스,,판씨네마(주),판씨네마(주),2020-04-15,개봉영화,장편,호주,187,"108,684,460","12,785","60,181,040","6,862",드라마,전체관람가,독립/예술영화
77,마티아스와 막심,자비에 돌란,,(주)엣나인필름,(주)엣나인필름,2020-07-23,개봉영화,장편,캐나다,91,"104,183,420","11,685","79,929,420","8,454",드라마,15세이상관람가,독립/예술영화
78,바이올렛 에버가든 – 영원과 자동 수기 인형 -,후지타 하루카,,미라지엔터테인먼트,(주)라이크콘텐츠,2020-03-26,개봉영화,장편,일본,62,"104,091,460","11,934","43,978,500","4,790",애니메이션,전체관람가,독립/예술영화
79,사랑하고 있습니까,김정권,(주)강철필름,,주식회사 블루필름웍스,2020-03-25,개봉영화,장편,한국,295,"102,673,840","12,878","33,305,780","4,066",판타지,12세이상관람가,일반영화
80,남매의 여름밤,윤단비,오누필름,,그린나래미디어(주),2020-08-20,개봉영화,장편,한국,133,"102,154,960","12,507","63,575,360","7,567",드라마,전체관람가,독립/예술영화
81,그레텔과 헨젤,오즈 퍼킨스,,"(유)조이앤시네마,주식회사 더쿱","(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2020-07-08,개봉영화,장편,캐나다,325,"101,464,540","11,564","26,507,720","2,936",판타지,15세이상관람가,일반영화
82,슈퍼스타 뚜루,,,,(주)박수엔터테인먼트,2020-06-04,개봉영화,장편,스페인,300,"101,306,020","13,146","9,159,220","1,065",뮤지컬,전체관람가,일반영화
83,킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,히시다 마사카즈,,동우에이앤이(주),동우에이앤이(주),2020-04-02,개봉영화,장편,일본,55,"99,667,500","12,371","67,280,380","8,107",애니메이션,12세이상관람가,일반영화
84,시크릿 가든,마크 먼든,,주식회사 세미콜론스튜디오,(주)이수C&E,2020-08-19,개봉영화,장편,영국,267,"94,605,660","11,272","40,292,160","4,553",드라마,전체관람가,독립/예술영화
85,라스트 풀 메저,토드 로빈슨,,씨네쿼넌 픽쳐스,(주)삼백상회,2020-05-20,개봉영화,장편,미국,333,"88,807,180","11,223","27,852,360","3,532",드라마,15세이상관람가,독립/예술영화
86,워터 릴리스,셀린 시아마,,(주)블루라벨픽쳐스,(주)영화특별시에스엠씨,2020-08-13,개봉영화,장편,프랑스,89,"87,352,532","10,105","53,848,032","6,028",드라마,15세이상관람가,독립/예술영화
87,너와 파도를 탈 수 있다면,유아사 마사아키,,(주)미디어캐슬,메가박스중앙(주)플러스엠,2020-07-08,개봉영화,장편,일본,257,"87,145,980","10,075","37,120,700","4,083",애니메이션,12세이상관람가,독립/예술영화
88,나는보리,김진유,파도,,(주)영화사 진진,2020-05-21,개봉영화,장편,한국,158,"82,853,360","11,497","47,344,440","6,280",가족,전체관람가,독립/예술영화
89,루팡 3세: 더 퍼스트,야마자키 타카시,,라인프렌즈(주),(주)넥스트엔터테인먼트월드(NEW),2020-05-21,개봉영화,장편,일본,132,"80,053,500","10,859","29,504,500","4,898",애니메이션,전체관람가,일반영화
90,소년 아메드,"장 피에르 다르덴,뤽 다르덴",,(주)영화사 진진,(주)영화사 진진,2020-07-30,개봉영화,장편,프랑스,82,"78,064,187","9,805","54,150,227","6,477",드라마,12세이상관람가,독립/예술영화
91,지저귀는 새는 날지 않는다,마키타 카오리,,컴퍼니 엘론 (주),(주)팝엔터테인먼트,2020-07-16,개봉영화,장편,일본,81,"77,445,000","8,639","48,667,560","5,356",애니메이션,청소년관람불가,독립/예술영화
92,씨 피버,니사 하디만,,찬란,(주)팝엔터테인먼트,2020-05-13,개봉영화,장편,아일랜드,278,"77,214,460","8,915","21,360,980","2,433",SF,15세이상관람가,독립/예술영화
93,레옹 디 오리지널,뤽 베송,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2020-06-11,개봉영화,장편,프랑스,130,"76,130,900","12,403","39,190,480","6,359",액션,청소년관람불가,일반영화
94,트로이 디렉터스 컷,볼프강 페터젠,"플랜 비 엔터테인먼트,워너 브러더스 픽쳐스",판씨네마(주),판씨네마(주),2020-07-03,개봉영화,장편,미국,159,"73,466,060","8,675","45,709,340","5,318",전쟁,청소년관람불가,일반영화
95,세인트 주디,,,주식회사 제이씨엔터웍스,"(주)미로스페이스,주식회사 제이씨엔터웍스",2020-07-29,개봉영화,장편,미국,151,"72,127,360","8,732","44,515,660","5,172",드라마,12세이상관람가,독립/예술영화
96,슈퍼 레이스,,,"(주)스톰픽쳐스코리아,(주)팀원픽쳐스",(주)영화사 빅,2020-07-23,개봉영화,장편,캐나다,209,"70,348,180","9,043","10,029,700","1,189",애니메이션,전체관람가,독립/예술영화
97,딥워터,요아힘 헤덴,,찬란,(주)팝엔터테인먼트,2020-07-09,개봉영화,장편,기타,264,"70,120,260","8,139","23,071,560","2,586",액션,12세이상관람가,독립/예술영화
98,조조 래빗,타이카 와이티티,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2020-02-05,개봉영화,장편,미국,277,"70,054,040","7,757","50,260,560","5,484",코미디,12세이상관람가,독립/예술영화
99,"아무튼, 아담",,,"(주)비싸이드 픽쳐스,주식회사 모쿠슈라픽쳐스,필립 스튜디오","(주)비싸이드 픽쳐스,주식회사 모쿠슈라픽쳐스,필립 스튜디오",2020-07-02,개봉영화,장편,미국,110,"69,943,500","10,167","28,124,000","4,051",드라마,15세이상관람가,독립/예술영화
100,하이큐!! 또 다른 도전,미츠나카 스스무,,(주)에이원엔터테인먼트,(주)삼백상회,2020-05-14,개봉영화,장편,일본,142,"69,455,900","8,464","16,421,500","1,832",애니메이션,12세이상관람가,일반영화
101,작은 소망,전우성,,(주)콘텐츠판다,(주)콘텐츠판다,2020-08-13,개봉영화,장편,대만,151,"66,448,000","7,911","21,750,500","2,583",코미디,12세이상관람가,독립/예술영화
102,타오르는 여인의 초상,셀린 시아마,,그린나래미디어(주),"그린나래미디어(주),(주)홈초이스",2020-01-16,개봉영화,장편,프랑스,120,"61,435,180","6,876","48,869,780","5,336",드라마,15세이상관람가,독립/예술영화
