순번,영화명,감독,배급사,개봉일,영화유형,국적,전국스크린수,전국매출액.1,전국매출액,전국관객수,전국관객수,서울매출액,서울매출액,서울관객수,장르,등급,영화구분
11,결백,박상현,1,2020-06-10,개봉영화,한국,1112,7.64102934,76410293.4,8656.83,"865,683","16,946,307","1,694,630,700","189,284",드라마,15세이상관람가,일반영화
12,테넷,크리스토퍼 놀란,1,2020-08-26,개봉영화,북아메리카,2228,6.49639332,64963933.2,7144.12,"714,412","20,504,319","2,050,431,900","216,041",액션,12세이상관람가,일반영화
13,원더 우먼 1984,팻티 젠킨스,1,2020-12-23,개봉영화,북아메리카,2260,4.93565546,49356554.6,5465.5,"546,550","14,576,935","1,457,693,500","154,656",액션,12세이상관람가,일반영화
14,침입자,손원평,1,2020-06-04,개봉영화,한국,1365,4.806314,48063140,5312.12,"531,212","10,293,687","1,029,368,660","110,923",미스터리,15세이상관람가,일반영화
15,국제수사,김봉한,2,2020-09-29,개봉영화,한국,1074,4.49654976,44965497.6,5374.7,"537,470","8,680,034","868,003,360","103,185",코미디,15세이상관람가,일반영화
16,1917,샘 멘데스,0,2020-02-19,개봉영화,북아메리카,932,4.16112442,41611244.2,4648.24,"464,824","16,421,806","1,642,180,560","176,208",드라마,15세이상관람가,일반영화
17,인비저블맨,리 워넬,1,2020-02-26,개봉영화,북아메리카,776,4.04210258,40421025.8,4591.7,"459,170","12,398,526","1,239,852,600","136,977",공포(호러),15세이상관람가,일반영화
18,이웃사촌,이환경,0,2020-11-25,개봉영화,한국,1363,3.70822375,37082237.5,4313.82,"431,382","7,758,030","775,803,000","91,262",드라마,12세이상관람가,일반영화
19,온워드: 단 하루의 기적,댄 스캔론,2,2020-06-17,개봉영화,북아메리카,1138,3.58133506,35813350.6,4167.39,"416,739","11,087,375","1,108,737,520","122,318",애니메이션,전체관람가,일반영화
20,소리도 없이,홍의정,1,2020-10-15,개봉영화,한국,1084,3.5586229,35586229,4034.32,"403,432","8,430,760","843,075,990","93,396",범죄,15세이상관람가,일반영화
21,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",,2,2020-09-29,개봉영화,한국,106,3.129974,31299740,1020.08,"102,008","9,867,305","986,730,500","31,301",공연,전체관람가,일반영화
22,오! 문희,정세교,0,2020-09-02,개봉영화,한국,1110,2.7987586,27987586,3511.62,"351,162","5,913,542","591,354,210","73,973",코미디,12세이상관람가,일반영화
23,그린랜드,릭 로먼 워,0,2020-09-29,개봉영화,북아메리카,779,2.77772452,27777245.2,3258.69,"325,869","6,796,460","679,646,010","79,147",액션,12세이상관람가,일반영화
24,런,아니쉬 차간티,0,2020-11-20,개봉영화,북아메리카,799,2.60326237,26032623.7,2835.73,"283,573","8,031,797","803,179,720","86,674",미스터리,15세이상관람가,일반영화
25,내가 죽던 날,박지완,1,2020-11-12,개봉영화,한국,909,2.13539602,21353960.2,2331.12,"233,112","5,498,366","549,836,600","58,772",드라마,12세이상관람가,일반영화
26,뮬란,니키 카로,2,2020-09-17,개봉영화,북아메리카,1420,2.07973762,20797376.2,2362.47,"236,247","6,007,040","600,704,000","65,400",어드벤처,12세이상관람가,일반영화
27,조제,김종관,1,2020-12-10,개봉영화,한국,1179,1.88443154,18844315.4,2099.88,"209,988","4,682,265","468,226,490","51,461",멜로/로맨스,15세이상관람가,일반영화
28,프리즌 이스케이프,,0,2020-05-06,개봉영화,유럽,328,1.8482976,18482976,2170.56,"217,056","5,564,777","556,477,740","63,837",어드벤처,12세이상관람가,독립/예술영화
29,극장판 귀멸의 칼날: 무한열차편,소토자키 하루오,0,2021-01-27,개봉영화,아시아,380,1.82010267,18201026.7,2063.09,"206,309","5,073,607","507,360,670","54,677",애니메이션,15세이상관람가,일반영화
30,사라진 시간,정진영,1,2020-06-18,개봉영화,한국,874,1.65118858,16511885.8,1856.53,"185,653","3,887,626","388,762,580","43,314",미스터리,15세이상관람가,일반영화
31,검객,최재훈,0,2020-09-23,개봉영화,한국,832,1.61978187,16197818.7,1902.37,"190,237","3,158,617","315,861,680","36,965",액션,15세이상관람가,일반영화
32,밤쉘: 세상을 바꾼 폭탄선언,제이 로치,0,2020-07-08,개봉영화,북아메리카,882,1.51842834,15184283.4,1789.63,"178,963","6,680,602","668,060,220","77,431",드라마,15세이상관람가,독립/예술영화
33,미스터트롯: 더 무비,전수경,0,2020-10-22,개봉영화,한국,449,1.2886131,12886131,1500.94,"150,094","3,563,261","356,326,100","41,283",공연,전체관람가,일반영화
34,지푸라기라도 잡고 싶은 짐승들,김용훈,1,2020-02-19,개봉영화,한국,996,1.23245327,12324532.7,1397.77,"139,777","3,584,709","358,470,900","39,768",스릴러,청소년관람불가,일반영화
35,트롤: 월드 투어,"월트 도른,데이빗 P.스미스",1,2020-04-29,개봉영화,북아메리카,344,1.16800032,11680003.2,1521.59,"152,159","3,039,960","303,995,980","37,939",애니메이션,전체관람가,일반영화
36,브레이크 더 사일런스: 더 무비,박준수,0,2020-09-24,개봉영화,한국,205,1.160249,11602490,1316.93,"131,693","3,773,290","377,329,000","41,301",다큐멘터리,전체관람가,일반영화
37,다크 워터스,토드 헤인즈,0,2020-03-11,개봉영화,북아메리카,575,1.09665774,10966577.4,1272.51,"127,251","3,839,812","383,981,180","43,314",드라마,12세이상관람가,독립/예술영화
38,애니멀 크래커,토니 밴크로프트,0,2020-08-05,개봉영화,북아메리카,473,1.02370534,10237053.4,1290.06,"129,006","1,510,655","151,065,470","17,842",애니메이션,전체관람가,독립/예술영화
39,언힌지드,데릭 보트,0,2020-10-07,개봉영화,북아메리카,676,1.01603719,10160371.9,1181.12,"118,112","3,025,523","302,552,340","35,166",스릴러,청소년관람불가,일반영화
40,언더워터,윌리엄 유뱅크,2,2020-05-27,개봉영화,북아메리카,594,0.9371128,9371128,1092.07,"109,207","2,598,892","259,889,160","29,571",스릴러,15세이상관람가,일반영화
41,디바,조슬예,1,2020-09-23,개봉영화,한국,831,0.90171735,9017173.5,1081.22,"108,122","2,581,753","258,175,260","31,164",스릴러,15세이상관람가,일반영화
42,기기괴괴 성형수,조경훈,0,2020-09-09,개봉영화,한국,276,0.87162956,8716295.6,1032.51,"103,251","2,872,385","287,238,540","36,203",공포(호러),15세이상관람가,독립/예술영화
43,죽지않는 인간들의 밤,신정원,0,2020-09-29,개봉영화,한국,570,0.84021744,8402174.4,1016.16,"101,616","2,349,554","234,955,440","27,911",코미디,15세이상관람가,일반영화
44,다만 악에서 구하소서,홍원찬,2,2020-08-05,개봉영화,한국,1998,0.83256074,8325607.4,969.61,"96,961","2,158,614","215,861,390","26,035",범죄,15세이상관람가,일반영화
45,정직한 후보,장유정,2,2020-02-12,개봉영화,한국,1187,0.82856609,8285660.9,1092.63,"109,263","2,329,927","232,992,660","30,341",코미디,12세이상관람가,일반영화
46,작은 아씨들,그레타 거윅,1,2020-02-12,개봉영화,북아메리카,1105,0.82566246,8256624.6,967.48,"96,748","3,730,051","373,005,120","42,804",드라마,전체관람가,일반영화
47,레이니 데이 인 뉴욕,우디 앨런,0,2020-05-06,개봉영화,북아메리카,563,0.7842722,7842722,884.4,"88,440","3,381,032","338,103,180","37,178",코미디,15세이상관람가,독립/예술영화
48,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,하시모토 마사카즈,2,2020-08-20,개봉영화,아시아,661,0.78308684,7830868.4,962.35,"96,235","1,000,379","100,037,880","11,640",애니메이션,전체관람가,일반영화
49,극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,"유야마 쿠니히코,사카키바라 모토노리",0,2020-09-30,개봉영화,아시아,591,0.78059231,7805923.1,973.98,"97,398","1,495,933","149,593,280","17,678",애니메이션,전체관람가,일반영화
50,저 산 너머,최종태,0,2020-04-30,개봉영화,한국,468,0.7726853,7726853,1035.34,"103,534","2,304,470","230,447,040","32,623",드라마,12세이상관람가,일반영화
51,주디,루퍼트 굴드,0,2020-03-25,개봉영화,유럽,479,0.73885176,7388517.6,897.19,"89,719","3,233,611","323,361,140","38,273",드라마,12세이상관람가,독립/예술영화
52,나의 청춘은 너의 것,"주동,대몽영",0,2020-04-29,개봉영화,아시아,533,0.7148925,7148925,844.42,"84,442","2,050,567","205,056,740","23,586",멜로/로맨스,12세이상관람가,독립/예술영화
