순번,영화명,감독,배급사,개봉일,영화유형,국적,전국스크린수,전국매출액,전국매출액,전국관객수,전국관객수,서울매출액,서울매출액,서울관객수,장르,등급,영화구분
1,다만 악에서 구하소서,홍원찬,2,2020-08-05,개봉영화,한국,1998,"377,219,673","37,721,967,250","42,557","4,255,708",86904162.3,"8,690,416,230",958007,범죄,15세이상관람가,일반영화
2,반도,연상호,2,2020-07-15,개봉영화,한국,2575,"330,595,203","33,059,520,280","38,103","3,810,312",79965058.4,"7,996,505,840",893723,액션,15세이상관람가,일반영화
3,#살아있다,조일형,2,2020-06-24,개봉영화,한국,1882,"159,653,299","15,965,329,900","19,037","1,903,703",38853038.4,"3,885,303,840",476332,드라마,15세이상관람가,일반영화
4,담보,강대규,2,2020-09-29,개봉영화,한국,1342,"147,504,806","14,750,480,550","17,198","1,719,777",26895814.5,"2,689,581,450",305921,드라마,12세이상관람가,일반영화
5,강철비2: 정상회담,양우석,2,2020-07-29,개봉영화,한국,2137,"146,282,067","14,628,206,710","17,805","1,780,503",34513218.1,"3,451,321,810",431963,드라마,15세이상관람가,일반영화
6,삼진그룹 영어토익반,이종필,2,2020-10-21,개봉영화,한국,1616,"139,861,389","13,986,138,870","15,718","1,571,820",39461539.4,"3,946,153,940",444282,드라마,12세이상관람가,일반영화
7,도굴,박정배,2,2020-11-04,개봉영화,한국,1635,"139,476,647","13,947,664,670","15,438","1,543,775",32358323.2,"3,235,832,320",355865,범죄,12세이상관람가,일반영화
8,테넷,크리스토퍼 놀란,1,2020-08-26,개봉영화,북아메리카,2228,"119,628,859","11,962,885,850","12,841","1,284,073",45964734.7,"4,596,473,470",464556,액션,12세이상관람가,일반영화
9,오케이 마담,이철하,1,2020-08-12,개봉영화,한국,1288,"107,900,212","10,790,021,200","12,052","1,205,199",21123883.8,"2,112,388,380",231120,코미디,15세이상관람가,일반영화
10,소울,피트 닥터,2,2021-01-20,개봉영화,북아메리카,2018,"79,363,329","7,936,332,910","8,750","875,001",25788809.8,"2,578,880,980",275009,애니메이션,전체관람가,일반영화
11,결백,박상현,1,2020-06-10,개봉영화,한국,1112,"76,410,293","7,641,029,340","8,657","865,683",16946307,"1,694,630,700",189284,드라마,15세이상관람가,일반영화
12,테넷,크리스토퍼 놀란,1,2020-08-26,개봉영화,북아메리카,2228,"64,963,933","6,496,393,320","7,144","714,412",20504319,"2,050,431,900",216041,액션,12세이상관람가,일반영화
13,원더 우먼 1984,팻티 젠킨스,1,2020-12-23,개봉영화,북아메리카,2260,"49,356,555","4,935,655,460","5,466","546,550",14576935,"1,457,693,500",154656,액션,12세이상관람가,일반영화
14,침입자,손원평,1,2020-06-04,개봉영화,한국,1365,"48,063,140","4,806,314,000","5,312","531,212",10293686.6,"1,029,368,660",110923,미스터리,15세이상관람가,일반영화
15,국제수사,김봉한,2,2020-09-29,개봉영화,한국,1074,"44,965,498","4,496,549,760","5,375","537,470",8680033.6,"868,003,360",103185,코미디,15세이상관람가,일반영화
16,1917,샘 멘데스,0,2020-02-19,개봉영화,북아메리카,932,"41,611,244","4,161,124,420","4,648","464,824",16421805.6,"1,642,180,560",176208,드라마,15세이상관람가,일반영화
17,인비저블맨,리 워넬,1,2020-02-26,개봉영화,북아메리카,776,"40,421,026","4,042,102,580","4,592","459,170",12398526,"1,239,852,600",136977,공포(호러),15세이상관람가,일반영화
18,이웃사촌,이환경,0,2020-11-25,개봉영화,한국,1363,"37,082,238","3,708,223,750","4,314","431,382",7758030,"775,803,000",91262,드라마,12세이상관람가,일반영화
19,온워드: 단 하루의 기적,댄 스캔론,2,2020-06-17,개봉영화,북아메리카,1138,"35,813,351","3,581,335,060","4,167","416,739",11087375.2,"1,108,737,520",122318,애니메이션,전체관람가,일반영화
20,소리도 없이,홍의정,1,2020-10-15,개봉영화,한국,1084,"35,586,229","3,558,622,900","4,034","403,432",8430759.9,"843,075,990",93396,범죄,15세이상관람가,일반영화
21,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",,2,2020-09-29,개봉영화,한국,106,"31,299,740","3,129,974,000","1,020","102,008",9867305,"986,730,500",31301,공연,전체관람가,일반영화
22,오! 문희,정세교,0,2020-09-02,개봉영화,한국,1110,"27,987,586","2,798,758,600","3,512","351,162",5913542.1,"591,354,210",73973,코미디,12세이상관람가,일반영화
23,그린랜드,릭 로먼 워,0,2020-09-29,개봉영화,북아메리카,779,"27,777,245","2,777,724,520","3,259","325,869",6796460.1,"679,646,010",79147,액션,12세이상관람가,일반영화
24,런,아니쉬 차간티,0,2020-11-20,개봉영화,북아메리카,799,"26,032,624","2,603,262,370","2,836","283,573",8031797.2,"803,179,720",86674,미스터리,15세이상관람가,일반영화
25,내가 죽던 날,박지완,1,2020-11-12,개봉영화,한국,909,"21,353,960","2,135,396,020","2,331","233,112",5498366,"549,836,600",58772,드라마,12세이상관람가,일반영화
26,뮬란,니키 카로,2,2020-09-17,개봉영화,북아메리카,1420,"20,797,376","2,079,737,620","2,362","236,247",6007040,"600,704,000",65400,어드벤처,12세이상관람가,일반영화
27,조제,김종관,1,2020-12-10,개봉영화,한국,1179,"18,844,315","1,884,431,540","2,100","209,988",4682264.9,"468,226,490",51461,멜로/로맨스,15세이상관람가,일반영화
28,프리즌 이스케이프,,0,2020-05-06,개봉영화,유럽,328,"18,482,976","1,848,297,600","2,171","217,056",5564777.4,"556,477,740",63837,어드벤처,12세이상관람가,독립/예술영화
29,극장판 귀멸의 칼날: 무한열차편,소토자키 하루오,0,2021-01-27,개봉영화,아시아,380,"18,201,027","1,820,102,670","2,063","206,309",5073606.7,"507,360,670",54677,애니메이션,15세이상관람가,일반영화
30,사라진 시간,정진영,1,2020-06-18,개봉영화,한국,874,"16,511,886","1,651,188,580","1,857","185,653",3887625.8,"388,762,580",43314,미스터리,15세이상관람가,일반영화
31,검객,최재훈,0,2020-09-23,개봉영화,한국,832,"16,197,819","1,619,781,870","1,902","190,237",3158616.8,"315,861,680",36965,액션,15세이상관람가,일반영화
32,밤쉘: 세상을 바꾼 폭탄선언,제이 로치,0,2020-07-08,개봉영화,북아메리카,882,"15,184,283","1,518,428,340","1,790","178,963",6680602.2,"668,060,220",77431,드라마,15세이상관람가,독립/예술영화
33,미스터트롯: 더 무비,전수경,0,2020-10-22,개봉영화,한국,449,"12,886,131","1,288,613,100","1,501","150,094",3563261,"356,326,100",41283,공연,전체관람가,일반영화
34,지푸라기라도 잡고 싶은 짐승들,김용훈,1,2020-02-19,개봉영화,한국,996,"12,324,533","1,232,453,270","1,398","139,777",3584709,"358,470,900",39768,스릴러,청소년관람불가,일반영화
35,트롤: 월드 투어,"월트 도른,데이빗 P.스미스",1,2020-04-29,개봉영화,북아메리카,344,"11,680,003","1,168,000,320","1,522","152,159",3039959.8,"303,995,980",37939,애니메이션,전체관람가,일반영화
36,브레이크 더 사일런스: 더 무비,박준수,0,2020-09-24,개봉영화,한국,205,"11,602,490","1,160,249,000","1,317","131,693",3773290,"377,329,000",41301,다큐멘터리,전체관람가,일반영화
37,다크 워터스,토드 헤인즈,0,2020-03-11,개봉영화,북아메리카,575,"10,966,577","1,096,657,740","1,273","127,251",3839811.8,"383,981,180",43314,드라마,12세이상관람가,독립/예술영화
38,애니멀 크래커,토니 밴크로프트,0,2020-08-05,개봉영화,북아메리카,473,"10,237,053","1,023,705,340","1,290","129,006",1510654.7,"151,065,470",17842,애니메이션,전체관람가,독립/예술영화
39,언힌지드,데릭 보트,0,2020-10-07,개봉영화,북아메리카,676,"10,160,372","1,016,037,190","1,181","118,112",3025523.4,"302,552,340",35166,스릴러,청소년관람불가,일반영화
40,언더워터,윌리엄 유뱅크,2,2020-05-27,개봉영화,북아메리카,594,"9,371,128","937,112,800","1,092","109,207",2598891.6,"259,889,160",29571,스릴러,15세이상관람가,일반영화
41,디바,조슬예,1,2020-09-23,개봉영화,한국,831,"9,017,174","901,717,350","1,081","108,122",2581752.6,"258,175,260",31164,스릴러,15세이상관람가,일반영화
42,기기괴괴 성형수,조경훈,0,2020-09-09,개봉영화,한국,276,"8,716,296","871,629,560","1,033","103,251",2872385.4,"287,238,540",36203,공포(호러),15세이상관람가,독립/예술영화
43,죽지않는 인간들의 밤,신정원,0,2020-09-29,개봉영화,한국,570,"8,402,174","840,217,440","1,016","101,616",2349554.4,"234,955,440",27911,코미디,15세이상관람가,일반영화
44,다만 악에서 구하소서,홍원찬,2,2020-08-05,개봉영화,한국,1998,"8,325,607","832,560,740",970,"96,961",2158613.9,"215,861,390",26035,범죄,15세이상관람가,일반영화
45,정직한 후보,장유정,2,2020-02-12,개봉영화,한국,1187,"8,285,661","828,566,090","1,093","109,263",2329926.6,"232,992,660",30341,코미디,12세이상관람가,일반영화
46,작은 아씨들,그레타 거윅,1,2020-02-12,개봉영화,북아메리카,1105,"8,256,625","825,662,460",967,"96,748",3730051.2,"373,005,120",42804,드라마,전체관람가,일반영화
47,레이니 데이 인 뉴욕,우디 앨런,0,2020-05-06,개봉영화,북아메리카,563,"7,842,722","784,272,200",884,"88,440",3381031.8,"338,103,180",37178,코미디,15세이상관람가,독립/예술영화
48,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,하시모토 마사카즈,2,2020-08-20,개봉영화,아시아,661,"7,830,868","783,086,840",962,"96,235",1000378.8,"100,037,880",11640,애니메이션,전체관람가,일반영화
49,극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,"유야마 쿠니히코,사카키바라 모토노리",0,2020-09-30,개봉영화,아시아,591,"7,805,923","780,592,310",974,"97,398",1495932.8,"149,593,280",17678,애니메이션,전체관람가,일반영화
50,저 산 너머,최종태,0,2020-04-30,개봉영화,한국,468,"7,726,853","772,685,300","1,035","103,534",2304470.4,"230,447,040",32623,드라마,12세이상관람가,일반영화
51,주디,루퍼트 굴드,0,2020-03-25,개봉영화,유럽,479,"7,388,518","738,851,760",897,"89,719",3233611.4,"323,361,140",38273,드라마,12세이상관람가,독립/예술영화
52,나의 청춘은 너의 것,"주동,대몽영",0,2020-04-29,개봉영화,아시아,533,"7,148,925","714,892,500",844,"84,442",2050567.4,"205,056,740",23586,멜로/로맨스,12세이상관람가,독립/예술영화
53,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,스도 토모노리,0,2020-10-22,개봉영화,아시아,149,"7,017,084","701,708,430",773,"77,314",2627589.1,"262,758,910",27583,애니메이션,15세이상관람가,일반영화
54,에어로너츠,톰 하퍼,0,2020-06-10,개봉영화,유럽,534,"6,911,885","691,188,500",799,"79,877",2844647.6,"284,464,760",32538,드라마,12세이상관람가,독립/예술영화
55,소리꾼,조정래,0,2020-07-01,개봉영화,한국,573,"6,421,207","642,120,680",792,"79,215",1836958,"183,695,800",22306,사극,12세이상관람가,일반영화
56,엽문4: 더 파이널,엽위신,0,2020-04-01,개봉영화,아시아,206,"6,305,563","630,556,300",729,"72,886",1827380,"182,738,000",20918,액션,12세이상관람가,독립/예술영화
57,더 플랫폼,,0,2020-05-13,개봉영화,유럽,228,"6,037,150","603,715,000",659,"65,938",2124662,"212,466,200",23133,SF,청소년관람불가,독립/예술영화
58,호텔 레이크,윤은경,0,2020-04-29,개봉영화,한국,465,"5,922,232","592,223,200",700,"70,019",1160309,"116,030,900",13345,공포(호러),15세이상관람가,독립/예술영화
59,소년시절의 너,증국상,0,2020-07-09,개봉영화,아시아,252,"5,887,237","588,723,700",684,"68,434",2531294,"253,129,400",28875,멜로/로맨스,15세이상관람가,독립/예술영화
60,빅샤크3: 젤리몬스터 대소동,신우,0,2020-07-29,개봉영화,아시아,400,"5,622,207","562,220,660",728,"72,849",626204.6,"62,620,460",7772,애니메이션,전체관람가,일반영화
61,카페 벨에포크,니콜라스 베도스,0,2020-05-20,개봉영화,유럽,463,"5,494,559","549,455,880",660,"65,975",2686908.4,"268,690,840",32387,코미디,15세이상관람가,독립/예술영화
62,뉴 뮤턴트,조쉬 분,2,2020-09-10,개봉영화,북아메리카,817,"5,461,159","546,115,880",619,"61,897",1645939.1,"164,593,910",18270,액션,15세이상관람가,일반영화
63,아이즈 온 미 : 더 무비,박재석,2,2020-06-10,개봉영화,한국,124,"5,062,740","506,274,000",392,"39,228",2022485,"202,248,500",15630,공연,전체관람가,일반영화
64,극장판 바이올렛 에버가든,이시다테 타이치,0,2020-11-12,개봉영화,아시아,131,"5,002,416","500,241,620",587,"58,653",1644946.6,"164,494,660",18122,애니메이션,전체관람가,독립/예술영화
65,마이 스파이,피터 시걸,0,2020-04-29,개봉영화,북아메리카,240,"4,825,945","482,594,500",563,"56,282",1655726,"165,572,600",19676,액션,12세이상관람가,일반영화
66,나의 첫 번째 슈퍼스타,니샤 가나트라,1,2020-06-10,개봉영화,북아메리카,462,"4,739,194","473,919,360",537,"53,684",1895101.2,"189,510,120",21533,코미디,12세이상관람가,일반영화
