순번,영화명,감독,배급사,개봉일,영화유형,국적,전국스크린수,전국매출액,전국매출액,전국관객수,전국관객수,서울매출액,서울매출액,서울관객수,장르,등급,영화구분
1,다만 악에서 구하소서,홍원찬,2,2020-08-05,개봉영화,한국,"1,998","377,219,673","37,721,967,250","42,557","4,255,708",86904162.3,"8,690,416,230",958007,범죄,15세이상관람가,일반영화
2,반도,연상호,2,2020-07-15,개봉영화,한국,"2,575","330,595,203","33,059,520,280","38,103","3,810,312","79,965,058","7,996,505,840","893,723",액션,15세이상관람가,일반영화
3,#살아있다,조일형,2,2020-06-24,개봉영화,한국,"1,882","159,653,299","15,965,329,900","19,037","1,903,703","38,853,038","3,885,303,840","476,332",드라마,15세이상관람가,일반영화
4,담보,강대규,2,2020-09-29,개봉영화,한국,"1,342","147,504,806","14,750,480,550","17,198","1,719,777","26,895,815","2,689,581,450","305,921",드라마,12세이상관람가,일반영화
5,강철비2: 정상회담,양우석,2,2020-07-29,개봉영화,한국,"2,137","146,282,067","14,628,206,710","17,805","1,780,503","34,513,218","3,451,321,810","431,963",드라마,15세이상관람가,일반영화
6,삼진그룹 영어토익반,이종필,2,2020-10-21,개봉영화,한국,"1,616","139,861,389","13,986,138,870","15,718","1,571,820","39,461,539","3,946,153,940","444,282",드라마,12세이상관람가,일반영화
7,도굴,박정배,2,2020-11-04,개봉영화,한국,"1,635","139,476,647","13,947,664,670","15,438","1,543,775","32,358,323","3,235,832,320","355,865",범죄,12세이상관람가,일반영화
9,오케이 마담,이철하,1,2020-08-12,개봉영화,한국,"1,288","107,900,212","10,790,021,200","12,052","1,205,199","21,123,884","2,112,388,380","231,120",코미디,15세이상관람가,일반영화
11,결백,박상현,1,2020-06-10,개봉영화,한국,"1,112","76,410,293","7,641,029,340","8,657","865,683","16,946,307","1,694,630,700","189,284",드라마,15세이상관람가,일반영화
14,침입자,손원평,1,2020-06-04,개봉영화,한국,"1,365","48,063,140","4,806,314,000","5,312","531,212","10,293,687","1,029,368,660","110,923",미스터리,15세이상관람가,일반영화
15,국제수사,김봉한,2,2020-09-29,개봉영화,한국,"1,074","44,965,498","4,496,549,760","5,375","537,470","8,680,034","868,003,360","103,185",코미디,15세이상관람가,일반영화
18,이웃사촌,이환경,0,2020-11-25,개봉영화,한국,"1,363","37,082,238","3,708,223,750","4,314","431,382","7,758,030","775,803,000","91,262",드라마,12세이상관람가,일반영화
20,소리도 없이,홍의정,1,2020-10-15,개봉영화,한국,"1,084","35,586,229","3,558,622,900","4,034","403,432","8,430,760","843,075,990","93,396",범죄,15세이상관람가,일반영화
21,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",,2,2020-09-29,개봉영화,한국,106,"31,299,740","3,129,974,000","1,020","102,008","9,867,305","986,730,500","31,301",공연,전체관람가,일반영화
22,오! 문희,정세교,0,2020-09-02,개봉영화,한국,"1,110","27,987,586","2,798,758,600","3,512","351,162","5,913,542","591,354,210","73,973",코미디,12세이상관람가,일반영화
25,내가 죽던 날,박지완,1,2020-11-12,개봉영화,한국,909,"21,353,960","2,135,396,020","2,331","233,112","5,498,366","549,836,600","58,772",드라마,12세이상관람가,일반영화
27,조제,김종관,1,2020-12-10,개봉영화,한국,"1,179","18,844,315","1,884,431,540","2,100","209,988","4,682,265","468,226,490","51,461",멜로/로맨스,15세이상관람가,일반영화
30,사라진 시간,정진영,1,2020-06-18,개봉영화,한국,874,"16,511,886","1,651,188,580","1,857","185,653","3,887,626","388,762,580","43,314",미스터리,15세이상관람가,일반영화
31,검객,최재훈,0,2020-09-23,개봉영화,한국,832,"16,197,819","1,619,781,870","1,902","190,237","3,158,617","315,861,680","36,965",액션,15세이상관람가,일반영화
33,미스터트롯: 더 무비,전수경,0,2020-10-22,개봉영화,한국,449,"12,886,131","1,288,613,100","1,501","150,094","3,563,261","356,326,100","41,283",공연,전체관람가,일반영화
34,지푸라기라도 잡고 싶은 짐승들,김용훈,1,2020-02-19,개봉영화,한국,996,"12,324,533","1,232,453,270","1,398","139,777","3,584,709","358,470,900","39,768",스릴러,청소년관람불가,일반영화
36,브레이크 더 사일런스: 더 무비,박준수,0,2020-09-24,개봉영화,한국,205,"11,602,490","1,160,249,000","1,317","131,693","3,773,290","377,329,000","41,301",다큐멘터리,전체관람가,일반영화
41,디바,조슬예,1,2020-09-23,개봉영화,한국,831,"9,017,174","901,717,350","1,081","108,122","2,581,753","258,175,260","31,164",스릴러,15세이상관람가,일반영화
42,기기괴괴 성형수,조경훈,0,2020-09-09,개봉영화,한국,276,"8,716,296","871,629,560","1,033","103,251","2,872,385","287,238,540","36,203",공포(호러),15세이상관람가,독립/예술영화
43,죽지않는 인간들의 밤,신정원,0,2020-09-29,개봉영화,한국,570,"8,402,174","840,217,440","1,016","101,616","2,349,554","234,955,440","27,911",코미디,15세이상관람가,일반영화
44,다만 악에서 구하소서,홍원찬,2,2020-08-05,개봉영화,한국,"1,998","8,325,607","832,560,740",970,"96,961","2,158,614","215,861,390","26,035",범죄,15세이상관람가,일반영화
45,정직한 후보,장유정,2,2020-02-12,개봉영화,한국,"1,187","8,285,661","828,566,090","1,093","109,263","2,329,927","232,992,660","30,341",코미디,12세이상관람가,일반영화
