순번,영화명,감독,distribution,date,영화유형,국적,country,num_screen,sales,view,sales_seoul,view_seoul,genre,genre2,등급,grade,영화구분
1,다만 악에서 구하소서,홍원찬,2,2020-08-05,개봉영화,한국,Korea,1998,377219673,42557,86904162,958007,criminal,criminal,15세이상관람가,0,일반영화
2,반도,연상호,2,2020-07-15,개봉영화,한국,Korea,2575,330595203,38103,79965058,893723,action,action,15세이상관람가,0,일반영화
3,#살아있다,조일형,2,2020-06-24,개봉영화,한국,Korea,1882,159653299,19037,38853038,476332,drama,drama,15세이상관람가,0,일반영화
4,담보,강대규,2,2020-09-29,개봉영화,한국,Korea,1342,147504806,17198,26895815,305921,drama,drama,12세이상관람가,0,일반영화
5,강철비2: 정상회담,양우석,2,2020-07-29,개봉영화,한국,Korea,2137,146282067,17805,34513218,431963,drama,drama,15세이상관람가,0,일반영화
6,삼진그룹 영어토익반,이종필,2,2020-10-21,개봉영화,한국,Korea,1616,139861389,15718,39461539,444282,drama,drama,12세이상관람가,0,일반영화
7,도굴,박정배,2,2020-11-04,개봉영화,한국,Korea,1635,139476647,15438,32358323,355865,criminal,criminal,12세이상관람가,0,일반영화
8,테넷,크리스토퍼 놀란,1,2020-08-26,개봉영화,북아메리카,NorthAmerica,2228,119628859,12841,45964735,464556,action,action,12세이상관람가,0,일반영화
9,오케이 마담,이철하,1,2020-08-12,개봉영화,한국,Korea,1288,107900212,12052,21123884,231120,comedy,comedy,15세이상관람가,0,일반영화
10,소울,피트 닥터,2,2021-01-20,개봉영화,북아메리카,NorthAmerica,2018,79363329,8750,25788810,275009,animation,animation,전체관람가,0,일반영화
11,결백,박상현,1,2020-06-10,개봉영화,한국,Korea,1112,76410293,8657,16946307,189284,drama,drama,15세이상관람가,0,일반영화
12,테넷,크리스토퍼 놀란,1,2020-08-26,개봉영화,북아메리카,NorthAmerica,2228,64963933,7144,20504319,216041,action,action,12세이상관람가,0,일반영화
13,원더 우먼 1984,팻티 젠킨스,1,2020-12-23,개봉영화,북아메리카,NorthAmerica,2260,49356555,5466,14576935,154656,action,action,12세이상관람가,0,일반영화
14,침입자,손원평,1,2020-06-04,개봉영화,한국,Korea,1365,48063140,5312,10293687,110923,mystery,others,15세이상관람가,0,일반영화
15,국제수사,김봉한,2,2020-09-29,개봉영화,한국,Korea,1074,44965498,5375,8680034,103185,comedy,comedy,15세이상관람가,0,일반영화
16,1917,샘 멘데스,0,2020-02-19,개봉영화,북아메리카,NorthAmerica,932,41611244,4648,16421806,176208,drama,drama,15세이상관람가,0,일반영화
17,인비저블맨,리 워넬,1,2020-02-26,개봉영화,북아메리카,NorthAmerica,776,40421026,4592,12398526,136977,horror,others,15세이상관람가,0,일반영화
18,이웃사촌,이환경,0,2020-11-25,개봉영화,한국,Korea,1363,37082238,4314,7758030,91262,drama,drama,12세이상관람가,0,일반영화
19,온워드: 단 하루의 기적,댄 스캔론,2,2020-06-17,개봉영화,북아메리카,NorthAmerica,1138,35813351,4167,11087375,122318,animation,animation,전체관람가,0,일반영화
20,소리도 없이,홍의정,1,2020-10-15,개봉영화,한국,Korea,1084,35586229,4034,8430760,93396,criminal,criminal,15세이상관람가,0,일반영화
21,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",,2,2020-09-29,개봉영화,한국,Korea,106,31299740,1020,9867305,31301,show,others,전체관람가,0,일반영화
22,오! 문희,정세교,0,2020-09-02,개봉영화,한국,Korea,1110,27987586,3512,5913542,73973,comedy,comedy,12세이상관람가,0,일반영화
23,그린랜드,릭 로먼 워,0,2020-09-29,개봉영화,북아메리카,NorthAmerica,779,27777245,3259,6796460,79147,action,action,12세이상관람가,0,일반영화
24,런,아니쉬 차간티,0,2020-11-20,개봉영화,북아메리카,NorthAmerica,799,26032624,2836,8031797,86674,mystery,others,15세이상관람가,0,일반영화
25,내가 죽던 날,박지완,1,2020-11-12,개봉영화,한국,Korea,909,21353960,2331,5498366,58772,drama,drama,12세이상관람가,0,일반영화
26,뮬란,니키 카로,2,2020-09-17,개봉영화,북아메리카,NorthAmerica,1420,20797376,2362,6007040,65400,adventure,others,12세이상관람가,0,일반영화
27,조제,김종관,1,2020-12-10,개봉영화,한국,Korea,1179,18844315,2100,4682265,51461,romance,romance,15세이상관람가,0,일반영화
28,프리즌 이스케이프,,0,2020-05-06,개봉영화,유럽,others,328,18482976,2171,5564777,63837,adventure,others,12세이상관람가,0,독립/예술영화
29,극장판 귀멸의 칼날: 무한열차편,소토자키 하루오,0,2021-01-27,개봉영화,아시아,others,380,18201027,2063,5073607,54677,animation,animation,15세이상관람가,0,일반영화
30,사라진 시간,정진영,1,2020-06-18,개봉영화,한국,Korea,874,16511886,1857,3887626,43314,mystery,others,15세이상관람가,0,일반영화
31,검객,최재훈,0,2020-09-23,개봉영화,한국,Korea,832,16197819,1902,3158617,36965,action,action,15세이상관람가,0,일반영화
32,밤쉘: 세상을 바꾼 폭탄선언,제이 로치,0,2020-07-08,개봉영화,북아메리카,NorthAmerica,882,15184283,1790,6680602,77431,drama,drama,15세이상관람가,0,독립/예술영화
33,미스터트롯: 더 무비,전수경,0,2020-10-22,개봉영화,한국,Korea,449,12886131,1501,3563261,41283,show,others,전체관람가,0,일반영화
34,지푸라기라도 잡고 싶은 짐승들,김용훈,1,2020-02-19,개봉영화,한국,Korea,996,12324533,1398,3584709,39768,thriller,others,청소년관람불가,1,일반영화
35,트롤: 월드 투어,"월트 도른,데이빗 P.스미스",1,2020-04-29,개봉영화,북아메리카,NorthAmerica,344,11680003,1522,3039960,37939,animation,animation,전체관람가,0,일반영화
36,브레이크 더 사일런스: 더 무비,박준수,0,2020-09-24,개봉영화,한국,Korea,205,11602490,1317,3773290,41301,documentary,others,전체관람가,0,일반영화
